;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;24536.40441;0.4818;0.056866;
Non-renewable;Fossil fuel;GASOLINE;1E+15;0.325283019;0.055548327;
Non-renewable;Fossil fuel;DIESEL;1E+15;0.296981132;0.053779856;
Renewable;Biofuel;BIOETHANOL;1E+15;0;0.11908401;
Renewable;Biofuel;BIODIESEL;1E+15;0;0.127516357;
Non-renewable;Fossil fuel;LFO;1E+15;0.293867925;0.040566038;
Non-renewable;Fossil fuel;GAS;1E+15;0.256346154;0.028846154;
Renewable;Biofuel;GAS_RE;1E+15;0;0.131748892;
Renewable;Biomass;WOOD;25974;0.010630631;0.025683651;
Renewable;Biomass;WET_BIOMASS;43179;0.010630631;0.004506215;
Non-renewable;Fossil fuel;COAL;35722;0.378679245;0.013679245;
Non-renewable;Other non-renewable;URANIUM;1E+15;0.003899523;0.003875982;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.020052021;
Non-renewable;Other non-renewable;H2;1E+15;0.446042277;0.075011126;
Renewable;Biofuel;H2_RE;1E+15;0;0.146617248;
Non-renewable;Other non-renewable;AMMONIA;1E+15;0.2375;0.053507052;
Non-renewable;Other non-renewable;METHANOL;1E+15;0.357142857;0.074394764;
Renewable;Biofuel;AMMONIA_RE;1E+15;0;0.08032835;
Renewable;Biofuel;METHANOL_RE;1E+15;0;0.128805154;
Export;Export;ELEC_EXPORT;1E+15;0;0;
Export;Export;CO2_EMISSIONS;1E+15;0;0;
Renewable;Non-biomass;RES_WIND;1E+15;0;0;
Renewable;Non-biomass;RES_SOLAR;1E+15;0;0;
Renewable;Non-biomass;RES_HYDRO;1E+15;0;0;
Renewable;Non-biomass;RES_GEO;1E+15;0;0;
Others;Others;CO2_ATM ;1E+15;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;
